Table 1,district,name,date,ver,link
0,中西,"葉永成議員, SBS, MH, JP",2016-01-25,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/534/yip_wing_shing_david_20160125.pdf
1,中西,"葉永成議員, SBS, MH, JP",2016-01-25,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/534/yip_wing_shing_david_20160125_text.pdf
2,中西,"陳學鋒議員, MH, JP",2016-01-21,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/535/chan_hok_fung_20160121.pdf
3,中西,"陳學鋒議員, MH, JP",2016-01-21,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/535/chan_hok_fung_20160121_text.pdf
4,中西,"陳學鋒議員, MH, JP",2018-05-11,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/535/chan_hok_fung_20180511.pdf
5,中西,"陳學鋒議員, MH, JP",2018-05-11,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/535/chan_hok_fung_20180511_text.pdf
6,中西,"陳捷貴議員, BBS, JP",2016-01-12,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/524/chan_chit_kwai_stephen_20160112.pdf
7,中西,"陳捷貴議員, BBS, JP",2016-01-12,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/524/chan_chit_kwan_stephen_20160112_text.pdf
8,中西,鄭麗琼議員,2016-01-25,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/527/cheng_lai_king_20160125.pdf
9,中西,鄭麗琼議員,2016-01-25,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/527/cheng_lai_king_20160125_text.pdf
10,中西,鄭麗琼議員,2017-05-02,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/527/cheng_lai_king_20170502.pdf
11,中西,鄭麗琼議員,2017-05-02,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/527/cheng_lai_king_20170502_text.pdf
12,中西,鄭麗琼議員,2017-12-08,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/527/cheng_lai_king_20171208.pdf
13,中西,鄭麗琼議員,2017-12-08,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/527/cheng_lai_king_20171208_text.pdf
14,中西,鄭麗琼議員,2019-02-28,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/527/cheng_lai_king_20190228.pdf
15,中西,鄭麗琼議員,2019-02-28,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/527/cheng_lai_king_20190228_text.pdf
16,中西,許智峯議員,2016-01-15,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/529/hui_chi_fung_20160115_r1.pdf
17,中西,許智峯議員,2016-01-15,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/529/hui_chi_fung_20160115_text.pdf
18,中西,許智峯議員,2017-02-27,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/529/hui_chi_fung_20170227.pdf
19,中西,許智峯議員,2017-02-27,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/529/hui_chi_fung_20170227_text.pdf
20,中西,"李志恒議員, MH",2016-01-25,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/531/lee_chi_hang_sidney_20160125.pdf
21,中西,"李志恒議員, MH",2016-01-25,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/531/lee_chi_hang_sidney_20160125_text.pdf
22,中西,"李志恒議員, MH",2019-03-08,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/531/lee_chi_hang_sidney_20190308.pdf
23,中西,"李志恒議員, MH",2019-03-08,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/531/lee_chi_hang_sidney_20190308_text.pdf
24,中西,"李志恒議員, MH",2019-04-30,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/531/lee_chi_hang_sidney_20190430.pdf
25,中西,"李志恒議員, MH",2019-04-30,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/531/lee_chi_hang_sidney_20190430_text.pdf
26,中西,伍凱欣議員,2017-12-27,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1248/ng_hoi_yan_bonnie_20171227.pdf
27,中西,伍凱欣議員,2017-12-27,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1248/ng_hoi_yan_bonnie_20171227_text.pdf
28,中西,楊開永議員,2016-01-20,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/882/yeung_hoi_wing_20160120.pdf
29,中西,楊開永議員,2016-01-20,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/882/yeung_hoi_wing_20160120_text.pdf
30,中西,楊哲安議員,2017-11-28,掃描版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1247/young_chit_on_jeremy_20171128.pdf
31,中西,楊哲安議員,2017-11-28,文字版本,https://www.districtcouncils.gov.hk/central/doc/2016_2019/reg_member/1247/young_chit_on_jeremy_20171128_text.pdf.pdf
